,Z,N,M_ex,Esh,alpha2,alpha4,alpha6,S_Z0N1,S_Z0N2,S_Z1N0,S_Z2N0,exist
201,18,16,-17.38,-0.81,0.074,0.002,-0.006,17.311,31.832,4.598999999999998,6.417999999999999,valid
202,18,17,-21.83,-0.48,0.083,0.002,-0.009,12.520999999999999,29.831999999999997,5.678999999999997,10.797999999999998,valid
203,18,18,-29.23,-0.38,0.094,-0.013,-0.008,15.471000000000002,27.992,8.729000000000001,14.948,valid
204,18,19,-30.2,-0.25,0.057,-0.013,0.0,9.040999999999999,24.512,9.208999999999998,16.828,valid
205,18,20,-34.23,-0.47,0.016,-0.001,0.0,12.100999999999997,21.141999999999996,10.738999999999995,18.847999999999995,valid
206,18,21,-33.46,-0.06,0.048,0.017,-0.002,7.301000000000004,19.402,11.249,20.898,valid
207,18,22,-35.69,-0.04,0.083,0.008,-0.009,10.300999999999997,17.602,12.708999999999998,22.997999999999998,valid
208,18,23,-34.19,-0.21,0.102,-0.006,-0.01,6.571,16.871999999999996,13.078999999999999,24.807999999999996,valid
209,18,24,-35.4,-0.57,0.117,-0.006,-0.008,9.281,15.852,14.438999999999998,26.817999999999998,valid
210,18,25,-33.07,-1.06,0.113,-0.03,-0.007,5.741000000000001,15.022000000000002,15.139000000000001,28.748,valid
211,18,26,-33.13,-1.52,0.088,-0.025,-0.004,8.131000000000002,13.872000000000003,16.519000000000005,30.528000000000002,valid
212,18,27,-29.94,-2.19,0.044,-0.023,0.004,4.8809999999999985,13.012,16.909,32.138000000000005,valid
213,18,28,-29.39,-3.14,0.011,-0.001,0.0,7.520999999999999,12.401999999999997,18.198999999999998,33.938,valid
214,18,29,-24.31,-2.86,0.033,0.009,-0.004,2.990999999999998,10.511999999999997,18.549,35.397999999999996,valid
215,18,30,-21.56,-2.61,0.045,-0.001,-0.004,5.321,8.311999999999998,19.729,36.918,valid
216,18,31,-15.68,-2.37,0.033,-0.013,-0.002,2.1910000000000007,7.5120000000000005,19.999,38.298,valid
217,18,32,-12.01,-2.1,0.011,-0.001,-0.001,4.401,6.5920000000000005,21.058999999999997,39.727999999999994,valid
218,18,33,-4.87,-1.36,0.029,0.005,-0.004,0.931,5.332000000000001,21.319000000000003,40.918,valid
219,18,34,0.06,-0.66,0.058,0.013,-0.002,3.141,4.071999999999999,22.488999999999997,42.448,valid
220,18,35,7.67,-0.15,0.073,0.007,-0.007,0.4609999999999994,3.6020000000000003,22.769,44.02799999999999,valid
221,18,36,13.06,0.29,0.083,-0.002,-0.01,2.680999999999999,3.1419999999999995,23.869,45.477999999999994,valid
222,18,38,27.29,1.15,0.095,-0.012,0.0,2.020999999999999,1.9120000000000008,25.049,48.087999999999994,valid
223,18,40,42.27,1.55,0.008,0.0,0.0,1.7209999999999983,1.1619999999999955,26.259,50.647999999999996,valid
224,18,42,58.17,1.77,0.141,-0.005,-0.002,1.2709999999999955,0.24200000000000088,27.209000000000003,52.858000000000004,valid
225,19,16,-10.32,-0.64,0.049,-0.009,0.0,17.771,33.751999999999995,0.22900000000000098,4.827999999999999,valid
226,19,17,-16.15,-0.22,0.059,-0.011,0.0,13.900999999999998,31.671999999999997,1.609,7.287999999999997,valid
227,19,18,-24.03,-0.11,0.06,-0.011,-0.001,15.951000000000002,29.852,2.0890000000000004,10.818000000000001,valid
228,19,19,-28.08,-0.3,0.051,-0.016,0.0,12.120999999999997,28.072,5.168999999999999,14.377999999999997,valid
229,19,20,-33.15,-0.59,0.016,-0.001,0.0,13.141,25.261999999999997,6.209000000000001,16.947999999999997,valid
230,19,21,-33.71,-0.14,0.044,0.004,-0.002,8.631000000000002,21.772000000000002,7.539,18.788,valid
231,19,22,-36.27,0.01,0.06,-0.006,-0.006,10.631000000000002,19.262000000000004,7.869000000000005,20.578000000000003,valid
232,19,23,-35.99,-0.06,0.07,-0.019,-0.002,7.790999999999999,18.422,9.089000000000004,22.168000000000003,valid
233,19,24,-37.58,-0.37,0.068,-0.018,-0.003,9.660999999999996,17.451999999999995,9.469,23.907999999999998,valid
234,19,25,-36.59,-0.93,0.065,-0.018,-0.003,7.081000000000005,16.742,10.809000000000003,25.948000000000004,valid
235,19,26,-37.42,-1.73,0.062,-0.017,-0.003,8.900999999999998,15.982000000000003,11.578999999999999,28.098000000000003,valid
236,19,27,-35.69,-2.64,0.042,-0.018,0.003,6.340999999999996,15.241999999999994,13.038999999999996,29.947999999999997,valid
237,19,28,-35.66,-3.73,0.011,-0.001,0.0,8.040999999999999,14.381999999999994,13.558999999999996,31.757999999999996,valid
238,19,29,-31.69,-3.37,0.031,0.0,-0.002,4.101000000000004,12.142000000000003,14.669000000000002,33.218,valid
239,19,30,-29.28,-3.09,0.043,-0.002,-0.002,5.661,9.762000000000004,15.009000000000002,34.738,valid
240,19,31,-24.51,-2.83,0.031,-0.009,-0.001,3.301,8.962,16.119,36.118,valid
